Event	tone	value
Express intent to cooperate on judicial matters	0.88	24.686464190915807
Ease state of emergency or martial law	0.0	24.686464190915807
Engage in judicial cooperation	-1.0	2.822916861922491
Investigate war crimes	1.1	2.360727449950965
Appeal for release of persons or property	0.63	2.1513258554174994
Threaten to halt international involvement (non-mediation)	-2.0	2.1159826449356407
Demand ceasefire	-2.5	1.8989587839166004
Receive deployment of peacekeepers	1.4	1.8989587839166004
Reduce or stop military assistance	1.7	1.8151811905085151
Grant asylum	0.68	1.7935874182621465
Engage in mass expulsion	-1.5	1.690853711706562
Threaten with administrative sanctions, not specified below	2.3	1.6831680130169868
Demand release of persons or property	1.2	1.6709985110530146
Appeal to others to engage in or accept mediation	1.0	1.5730180971249452
Accuse of crime, corruption	-1.7	1.571830051066447
Refuse to release persons or property	-1.5	1.5527604011976526
Violate ceasefire 	-2.6	1.539340723221078
Demand economic aid	2.9	1.517045285475273
Threaten political dissent, protest	-1.5	1.5018935686144879
Investigate military action	-0.0	1.3942521303839492
Make empathetic comment	1.0	1.389348269584755
Defy norms, law	-1.2	1.375980506804566
Appeal for intelligence	-1.0	1.3708289093622876
Impose curfew	-1.2	1.3664094570617604
Appeal for aid, not specified below	0.43	1.3388731152455944
Accede to demands for change in leadership	1.0	1.3376269061377748
Impose restrictions on political freedoms  	0.27	1.3356656751044118
Expel or deport individuals	-0.0	1.3265583504788823
Investigate human rights abuses	-4.3	1.3182092529129799
Express intent to accept mediation	-1.8	1.2956983967607745
Ease economic sanctions, boycott, embargo	0.075	1.293100505238447
Confiscate property	-1.5	1.285551972353877
Conduct strike or boycott, not specified below	0.069	1.2830629380361236
Make pessimistic comment	-0.0	1.2809795777885187
Find guilty or liable (legally)	-1.6	1.2768860788404728
Return, release person(s)	0.83	1.2710867351271047
Use unconventional violence, not specified below	-2.2	1.2571033918172718
Expel or withdraw, not specified below	0.55	1.2549264801148399
Threaten, not specified below	-0.0	1.2523589824706602
Express intent to provide humanitarian aid	1.6	1.244080705273425
Express intent to de-escalate military engagement 	0.12	1.228738036651918
Demand intelligence cooperation	-1.0	1.2206654146960443
Engage in material cooperation, not specified below	1.2	1.2184311619090642
Cooperate militarily	0.83	1.2149751464263299
Return, release, not specified below	0.42	1.2087241701747125
Provide humanitarian aid	0.59	1.1999126390644472
Complain officially 	-0.0	1.1790571854358853
Demand information, investigation	-1.0	1.161994952310158
Express intent to cooperate economically	1.4	1.1611357896026866
Reject request for rights	0.81	1.151182267970167
Apologize	-1.0	1.1501542402147136
Accede to demands for rights	0.51	1.1368766403711226
Threaten conventional attack  	-1.0	1.1341407744678011
Threaten to use military force, not specified below	-0.0	1.1329056058381481
Impose administrative sanctions, not specified below	-0.0	1.1267330436397014
Express intent allow international involvement (not mediation)	1.5	1.1221120086779912
Investigate, not specified below	-0.0	1.1191781485392058
Increase military alert status	0.63	1.1051653332502762
Express intent to change leadership	-0.0	1.0949641375002979
Appeal for humanitarian aid	0.17	1.0922049721993667
Engage in symbolic act	1.9	1.0913744122279008
Threaten to boycott, embargo, or sanction	1.9	1.0898372151173534
Employ aerial weapons	-0.0	1.075650868707318
Appeal for economic cooperation	0.53	1.0746223831595756
Demand, not specified below	0.16	1.0661260222210915
Criticize or denounce 	0.25	1.058542155144936
Declare truce, ceasefire	0.42	1.0570171131469475
Reject request or demand for material aid, not specified below	0.33	1.0564969844417358
Express intent to provide matyerial aid, not specified below	1.9	1.0562148486963276
Appeal for change in leadership	0.88	1.055342778814425
Appeal to yield	0.14	1.0540811555923002
Accuse, not specified below	-1.0	1.0538317950676066
Make statement, not specified below	0.24	1.0504176596288202
Appeal, not specified below	0.42	1.0494887931039816
Consult, not specified below	0.89	1.0343067655057745
Torture	-1.3	1.033794724016665
Praise or endorse	2.0	1.0319365729133985
Consider policy option	0.26	1.0313705311287715
Demand change in leadership	0.83	1.025930979362735
Cooperate economically	1.4	1.0181627648116052
Investigate crime, corruption	-1.0	1.014264119362645
Provide aid, not specified below	1.4	1.0128732500232824
Appeal for economic aid	1.0	1.012345391853019
Use as human shield 	-3.4	1.007610783302686
Express intent to release persons or property	1.0	1.002346846529712
Yield, not specified below 	0.22	0.9978824724555604
Make a visit	0.89	0.9972389654907066
Reject proposal to meet, discuss, or negotiate	0.54	0.9929186854549533
Host a visit	0.92	0.9899453480842503
Appeal for judicial cooperation	-2.9	0.9896177336008523
Appeal for military aid	-1.1	0.9894882872001197
Provide economic aid	1.5	0.9837627512010959
Disapprove, not specified below	0.52	0.9832831253308147
Use conventional military force, not specified below	-0.0	0.9811398575925993
Reject, not specified below	0.17	0.9756519158041673
Retreat or surrender militarily	0.41	0.9710165644652253
Obstruct passage, block	-0.0	0.9615832368982786
Halt negotiations	0.62	0.9578179840753807
Occupy territory	-0.0	0.9564740230357593
Mobilize or increase armed forces 	0.34	0.9532900804822678
Appeal to others to meet or negotiate	0.54	0.9454863876064179
Demonstrate military or police power, not specified below	-1.0	0.9422640045237294
Arrest, detain, or charge with legal action 	-1.3	0.9390069290720033
Demand rights	-0.0	0.9368677112302014
Destroy property	-1.0	0.9348398418620268
Provide military aid	0.19	0.93041978925205
Reduce or break diplomatic relations	0.056	0.9296432955461308
Impose blockade, restrict movement 	-1.0	0.9255572957002027
Decline comment	-1.0	0.9232054484872264
Appeal for military protection or peacekeeping	1.3	0.9227071861522629
Coerce, not specified below 	-1.1	0.9140029201120322
Reduce relations, not specified below	0.043	0.907518913354794
Refuse to yield, not specified below	0.13	0.9073040954045719
Conduct suicide, car, or other non-military bombing, not spec below	-2.6	0.905196821410229
Make optimistic comment	0.5	0.9036613793194224
Fight with artillery and tanks	-0.0	0.903355249622955
Engage in political dissent, not specified below	-1.2	0.9028418564216405
Acknowledge or claim responsibility	-1.6	0.899835264801831
Kill by physical assault	-1.2	0.8991941146635255
Demonstrate or rally	0.13	0.8957723771221553
Express intent to provide economic aid	1.7	0.8954848147847789
Physically assault, not specified below	-1.5	0.8907275981294274
Express intent to cooperate, not specified below	1.3	0.8891986755580877
Ease political dissent 	1.0	0.8856130651449616
Return, release property	0.93	0.8821675964477118
Threaten to reduce or break relations	0.057	0.8771840067838104
Threaten unconventional violence 	-1.5	0.8708771469043676
Engage in mass killings	-0.0	0.8675754188500763
Impose state of emergency or martial law	-0.0	0.8622697712221562
Express intent to settle dispute	1.3	0.8556612006163264
Engage in diplomatic cooperation, not specified below	1.2	0.8551892906783767
Deny responsibility	-1.4	0.8551814842950751
Express intent to meet or negotiate	1.4	0.8531754016339571
Provide military protection or peacekeeping	0.57	0.8492143681675037
Express intent to provide military aid	0.94	0.8477594101371145
Seize or damage property, not specified below	-1.7	0.8411061053122932
Engage in negotiation	1.0	0.8385510073940755
Appeal for diplomatic cooperation, such as policy support	1.0	0.8277570338897124
Express intent to yield, not specified below	0.69	0.8237357518753027
Carry out suicide bombing	-2.7	0.8103922237046135
Demand mediation	-1.0	0.8075011651234142
Express intent to provide diplomatic cooperation such as policy support	1.2	0.8040399904265906
Sign formal agreement	1.8	0.7781291398927367
Fight with small arms and light weapons	-0.0	0.775108403874771
Express intent to engage in material cooperation,  not specified below	1.1	0.7733870532296122
Increase police alert status	1.4	0.7679229482993023
Impose embargo, boycott, or sanctions	-0.0	0.7632084582314462
Accuse of war crimes	-1.0	0.7622530677752339
Mediate	1.3	0.7608365482514488
Defend verbally	1.2	0.7597941287097337
Express accord	0.46	0.7595835135666402
Give ultimatum	1.1	0.7582200808538162
Accuse of aggression	-1.0	0.754567396024219
Allow international involvement not specified below	-0.0	0.7504434966206198
Reduce or stop economic assistance	-1.4	0.7480746724519941
Forgive	1.2	0.7440039438032391
Appeal to others to settle dispute	0.94	0.739484698679455
Express intent to mediate	1.1	0.7332613126014595
Discuss by telephone	0.29	0.7299760916668653
Demand de-escalation of military engagement106:[-5.0] Demand withdrawal	-0.0	0.7125125488040216
Use tactics of violent repression  	-4.0	0.7093811549113738
Rally support on behalf of	1.9	0.7014958483001567
Ease administrative sanctions, not specified below	0.021	0.6968381495358094
Carry out car bombing	-4.8	0.6929533807976367
Reject plan, agreement to settle dispute	1.0	0.6914975963841963
Meet at a ÒhirdÓlocation	0.94	0.688199038899276
Veto	0.65	0.6873419388787033
Rally opposition against	0.17	0.6827008902355035
Assassinate 	0.17	0.6726440260280774
Share intelligence or information	-0.0	0.6720704536959958
Appeal for policy change	2.3	0.6672017348896164
Appeal for de-escalation of military engagement	-0.0	0.6480933319810832
Mobilize or increase police power	1.2	0.6424710712146858
Refuse to de-escalate military engagement	-1.0	0.6329862613055335
Express intent to cooperate militarily	0.74	0.629527319986924
Refuse to ease administrative sanctions	-0.0	0.628687543062372
Abduct, hijack, or take hostage 	-1.0	0.6154383773164092
Sexually assault	-2.7	0.6055842586516142
Protest violently, riot	-1.2	0.6001452901438175
De-escalate military engagement	-3.2	0.5892497734012567
Threaten non-force, not specified below	1.3	0.5883048781545547
Appeal for material cooperation, not specified below	-0.0	0.5845610828450009
Attempt to assassinate	2.8	0.5774611506646973
Appeal for political reform, not specified below	0.65	0.5430186708661683
Reduce or stop aid, not specified below	0.75	0.5287438784346555
Express intent to provide military protection or peacekeeping	3.2	0.5233879333763068
Bring lawsuit against 	-1.6	0.5232954783447972
Receive inspectors	2.1	0.5121673068654732
Ease curfew	-4.9	0.48723284587333826
Engage in ethnic cleansing	0.24	0.4752773400289566
Express intent to cooperate on intelligence	-10.0	0.4747396959791501
Express intent to institute political reform, not specified below	2.1	0.4554698190205868
Ease restrictions on political freedoms	4.4	0.4408297176949251
Conduct hunger strike, not specified below	-1.6	0.42465248034832237
Express intent to change institutions, regime	-3.9	0.4114410698485968
Demobilize armed forces	-1.5	0.39128401455342054
Accuse of human rights abuses	-1.0	0.38774551085208075
Allow delivery of humanitarian aid	6.5	0.3797917567833201
Accuse of espionage, treason	1.3	0.377468871420731
Grant diplomatic recognition	0.58	0.3753372053353837
Ease military blockade	-1.8	0.37403733622599705
Accede to requests or demands for political reform not specified below	0.41	0.3608591092375249
Ban political parties or politicians	0.51	0.36038633855351543
Appeal for rights	-2.8	0.35777484334660586
Threaten with violent repression	0.74	0.32060343105085465
Demand change in institutions, regime	-0.0	0.3085808023864476
Threaten to reduce or stop aid	1.9	0.29042899048136245
Demonstrate for policy change	2.7	0.22041485884746256
Demand judicial cooperation	-5.5	0.19592431897552226
Reject material cooperation	0.32	0.19062906711131897
Accede to demands for change in institutions, regime	4.0	0.16642560128707284
Threaten to halt negotiations	-1.4	0.1615606295217003
