Event	value
Threaten with violent repression	12.0
Confiscate property	11.0
Accuse of human rights abuses	9.8
Demobilize armed forces	8.1
Grant diplomatic recognition	7.3
Appeal for humanitarian aid	7.0
Ban political parties or politicians	6.8
Express intent to provide diplomatic cooperation such as policy support	6.6
Demand de-escalation of military engagement106:[-5.0] Demand withdrawal	6.3
Engage in judicial cooperation	6.0
Express intent to provide humanitarian aid	5.5
Express intent to accept mediation	5.2
Demand change in leadership	4.9
Appeal for material cooperation, not specified below	4.5
Appeal for release of persons or property	4.1
Impose curfew	3.9
Protest violently, riot	3.9
Torture	3.8
Reduce or break diplomatic relations	3.7
Expel or deport individuals	3.7
Threaten conventional attack  	3.6
Grant asylum	3.4
Assassinate 	3.1
Accede to demands for rights	3.0
Demand release of persons or property	2.8
Investigate crime, corruption	2.7
Appeal for judicial cooperation	2.7
Reduce or stop aid, not specified below	2.7
Demand rights	2.7
Demand intelligence cooperation	2.6
Demonstrate military or police power, not specified below	2.6
Engage in political dissent, not specified below	2.5
Abduct, hijack, or take hostage 	2.1
Express intent to provide economic aid	2.1
Rally opposition against	2.1
Express intent to cooperate economically	2.0
Appeal for diplomatic cooperation, such as policy support	2.0
Accuse of crime, corruption	2.0
Ease economic sanctions, boycott, embargo	2.0
Physically assault, not specified below	1.9
Cooperate economically	1.8
Engage in diplomatic cooperation, not specified below	1.7
Sign formal agreement	1.6
Use tactics of violent repression  	1.6
Seize or damage property, not specified below	1.6
Cooperate militarily	1.6
Occupy territory	1.5
Provide military protection or peacekeeping	1.5
Use conventional military force, not specified below	1.5
Mobilize or increase police power	1.5
Yield, not specified below 	1.4
Provide military aid	1.4
Expel or withdraw, not specified below	1.4
Apologize	1.4
Use unconventional violence, not specified below	1.4
Meet at a ÒhirdÓlocation	1.4
Arrest, detain, or charge with legal action 	1.3
Impose administrative sanctions, not specified below	1.3
Express intent to yield, not specified below	1.3
Return, release person(s)	1.3
Engage in negotiation	1.2
Decline comment	1.2
Reduce relations, not specified below	1.2
Fight with small arms and light weapons	1.1
Threaten political dissent, protest	1.1
Express intent to provide military aid	1.1
Return, release property	1.1
Host a visit	1.1
Accuse, not specified below	1.1
Express intent to cooperate, not specified below	1.1
Share intelligence or information	1.0
Sexually assault	1.0
Criticize or denounce 	1.0
Reject plan, agreement to settle dispute	1.0
Make a visit	1.0
Appeal to others to meet or negotiate	1.0
Mobilize or increase armed forces 	1.0
Engage in material cooperation, not specified below	1.0
Express intent to release persons or property	0.99
Accede to demands for change in leadership	0.97
Express intent to settle dispute	0.97
Express intent to engage in material cooperation,  not specified below	0.96
Express intent to provide matyerial aid, not specified below	0.95
Consult, not specified below	0.95
Provide humanitarian aid	0.94
Accuse of aggression	0.94
Appeal to others to settle dispute	0.93
Demonstrate or rally	0.93
Investigate, not specified below	0.91
Threaten to use military force, not specified below	0.9
Discuss by telephone	0.89
Appeal to yield	0.88
Make statement, not specified below	0.88
Demand, not specified below	0.86
Express intent to meet or negotiate	0.85
Employ aerial weapons	0.84
Return, release, not specified below	0.83
Make pessimistic comment	0.82
Engage in symbolic act	0.8
Reject request or demand for material aid, not specified below	0.79
Destroy property	0.79
Reject, not specified below	0.79
Rally support on behalf of	0.78
Threaten, not specified below	0.74
Provide aid, not specified below	0.72
Fight with artillery and tanks	0.71
Impose restrictions on political freedoms  	0.71
Provide economic aid	0.71
Make optimistic comment	0.7
Accede to requests or demands for political reform not specified below	0.7
Acknowledge or claim responsibility	0.68
Complain officially 	0.66
Carry out suicide bombing	0.66
Conduct strike or boycott, not specified below	0.63
Appeal, not specified below	0.63
Ease administrative sanctions, not specified below	0.62
Retreat or surrender militarily	0.62
Praise or endorse	0.61
Threaten non-force, not specified below	0.56
Impose blockade, restrict movement 	0.56
Consider policy option	0.55
Defend verbally	0.52
Declare truce, ceasefire	0.52
Disapprove, not specified below	0.51
Accuse of war crimes	0.47
Mediate	0.45
Deny responsibility	0.43
Impose embargo, boycott, or sanctions	0.39
Defy norms, law	0.32
Appeal for intelligence	0.22
Appeal for aid, not specified below	0.17
Make empathetic comment	0.15
